species,type,activity,sex,country,year,age
white shark,Boating,,F,United States of America,2018.0,57.0
,Provoked,standing,F,United States of America,2018.0,11.0
,,surf,M,United States of America,2018.0,48.0
,Provoked,surf,M,Australia,2018.0,
tiger shark,Provoked,diving,M,Mexico,2018.0,
tiger shark,Provoked,swimming,M,Brazil,2018.0,18.0
lemon shark,Provoked,fishing,M,United States of America,2018.0,52.0
bull shark,Provoked,wading,M,United States of America,2018.0,15.0
,Provoked,standing,M,United States of America,2018.0,12.0
grey reef shark,Provoked,,M,Australia,2018.0,32.0
,Provoked,surf,M,United States of America,2018.0,10.0
,Provoked,swimming,M,United States of America,2018.0,10.0
,,fishing,M,United Kingdom,2018.0,21.0
nurse shark,Provoked,,F,Australia,2018.0,34.0
,Provoked,surf,M,South Africa,2018.0,
,,surf,M,Australia,2018.0,
,Provoked,swimming,M,Thailand,2018.0,
tiger shark,Provoked,diving,M,Costa Rica,2018.0,30.0
,Provoked,surf,M,Australia,2018.0,60.0
white shark,Provoked,surf,M,Australia,2018.0,
tiger shark,Provoked,fishing,M,Maldives,2018.0,32.0
white shark,Provoked,,M,South Africa,2018.0,33.0
,Provoked,surf,M,United States of America,2018.0,29.0
bull shark,Provoked,swimming,M,Thailand,2018.0,54.0
,Provoked,swimming,M,Brazil,2018.0,34.0
,Provoked,surf,M,Australia,2018.0,41.0
,Provoked,surf,M,Australia,2018.0,37.0
tiger shark,Provoked,surf,M,Bahamas,2018.0,
,,fishing,M,Brazil,2018.0,56.0
,Provoked,surf,,New Caledonia,2018.0,
bull shark,Provoked,swimming,M,Bahamas,2018.0,12.0
white shark,Provoked,surf,M,South Africa,2018.0,19.0
tiger shark,Provoked,boating,M,United States of America,2018.0,25.0
wobbegong shark,Provoked,wading,M,Australia,2018.0,10.0
,Provoked,swimming,M,Australia,2018.0,69.0
,Provoked,surf,M,Australia,2018.0,18.0
blacktip reef shark,Provoked,diving,M,South Africa,2018.0,38.0
